MSA,Year,Inflation Rate over Previous Year
"Phoenix-Mesa-Scottsdale, AZ (CBSA)",2005,0.02899239543726233
"Atlanta-Sandy Springs-Roswell, GA (CBSA)",2005,0.03181818181818171
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (CBSA)",2005,0.03885549817997125
Urban Alaska (CBSA),2005,0.030893821235752884
"Detroit-Warren-Dearborn, MI (CBSA)",2005,0.029903017241379216
"Tampa-St. Petersburg-Clearwater, FL (CBSA)",2005,0.040123456790123455
"Minneapolis-St.Paul-Bloomington, MN-WI (CBSA)",2005,0.027674294837679556
"Minneapolis-ST.Paul-Bloomington, MN-WI (CBSA)",2005,0.027940393826503613
"San Diego-Carlsbad, CA (CBSA)",2005,0.03641061780596664
"Portland-Salem, OR-WA (CMSA) (DISCONTINUED)",2005,
"Washington-Baltimore, DC-MD-VA-WV (CMSA) (DISCONTINUED)",2005,0.04008379888268167
"Cincinnati-Hamilton, OH-KY-IN (CMSA) (DISCONTINUED)",2005,
"Denver-Boulder-Greeley, CO (CMSA) (DISCONTINUED)",2005,
"Cleveland-Akron, OH (CMSA) (DISCONTINUED)",2005,0.03427048879088571
"St. Louis, MO-IL (CBSA)",2005,0.03243692819517602
"Kansas City, MO-KS (CMSA) (DISCONTINUED)",2005,
"Pittsburgh, PA (CMSA) (DISCONTINUED)",2005,
"Milwaukee-Racine, WI (CMSA) (DISCONTINUED)",2005,
"San Francisco-Oakland-Hayward, CA (CBSA)",2006,0.03286230693394671
"New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2006,0.03776689520078354
"Dallas-Fort Worth-Arlington, TX (CBSA)",2006,0.031199131850244477
"Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",2006,0.0204965481754641
"Boston-Cambridge-Newton, MA-NH (CBSA)",2006,0.03194444444444461
"Denver-Aurora-Lakewood, CO (CBSA)",2006,0.03562074384494506
Seattle-Tacoma-Bellevue WA (CBSA),2006,0.037495843032923096
"Miami-Fort Lauderdale-West Palm Beach, FL (CBSA)",2006,0.049135422016777924
"Los Angeles-Riverside-Orange County, CA (CMSA) (DISCONTINUED)",2006,0.04265070189925688
"Houston-The Woodlands-Sugar Land, TX (CBSA)",2006,0.02709102964857432
Urban Hawaii (CBSA),2006,0.05839231547017194
"Phoenix-Mesa-Scottsdale, AZ (CBSA)",2006,0.029561200923787424
"Atlanta-Sandy Springs-Roswell, GA (CBSA)",2006,0.025991189427312877
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (CBSA)",2006,0.03821707953063883
Urban Alaska (CBSA),2006,0.03171370381146359
"Detroit-Warren-Dearborn, MI (CBSA)",2006,0.029209172552097006
"Tampa-St. Petersburg-Clearwater, FL (CBSA)",2006,0.040059347181008904
"Minneapolis-St.Paul-Bloomington, MN-WI (CBSA)",2006,0.016053858104608982
"Minneapolis-ST.Paul-Bloomington, MN-WI (CBSA)",2006,0.015790836137716712
"San Diego-Carlsbad, CA (CBSA)",2006,0.0342248413417949
"Portland-Salem, OR-WA (CMSA) (DISCONTINUED)",2006,
"Washington-Baltimore, DC-MD-VA-WV (CMSA) (DISCONTINUED)",2006,0.0367933395998386
"Cincinnati-Hamilton, OH-KY-IN (CMSA) (DISCONTINUED)",2006,
"Denver-Boulder-Greeley, CO (CMSA) (DISCONTINUED)",2006,
"Cleveland-Akron, OH (CMSA) (DISCONTINUED)",2006,0.018566225459714036
"St. Louis, MO-IL (CBSA)",2006,0.017991407089151572
"Kansas City, MO-KS (CMSA) (DISCONTINUED)",2006,
"Pittsburgh, PA (CMSA) (DISCONTINUED)",2006,
"Milwaukee-Racine, WI (CMSA) (DISCONTINUED)",2006,
"San Francisco-Oakland-Hayward, CA (CBSA)",2007,0.032713172128539754
"New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2007,0.028079957718298063
"Dallas-Fort Worth-Arlington, TX (CBSA)",2007,0.015016223800753927
"Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",2007,0.032737089793688785
"Boston-Cambridge-Newton, MA-NH (CBSA)",2007,0.018823089576790856
"Denver-Aurora-Lakewood, CO (CBSA)",2007,0.021894284269094687
Seattle-Tacoma-Bellevue WA (CBSA),2007,0.03882682907284223
"Miami-Fort Lauderdale-West Palm Beach, FL (CBSA)",2007,0.042198107049608045
"Los Angeles-Riverside-Orange County, CA (CMSA) (DISCONTINUED)",2007,0.032768779946936846
"Houston-The Woodlands-Sugar Land, TX (CBSA)",2007,0.018900673245411864
Urban Hawaii (CBSA),2007,0.048502507762120825
"Phoenix-Mesa-Scottsdale, AZ (CBSA)",2007,0.034405563032750296
"Atlanta-Sandy Springs-Roswell, GA (CBSA)",2007,0.03226449119793903
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (CBSA)",2007,0.02215132250215853
Urban Alaska (CBSA),2007,0.02220530174844902
"Detroit-Warren-Dearborn, MI (CBSA)",2007,0.018072687224669433
"Tampa-St. Petersburg-Clearwater, FL (CBSA)",2007,0.05156918687589155
"Minneapolis-St.Paul-Bloomington, MN-WI (CBSA)",2007,0.02572375127421012
"Minneapolis-ST.Paul-Bloomington, MN-WI (CBSA)",2007,0.02572375127421012
"San Diego-Carlsbad, CA (CBSA)",2007,0.022664913434144295
"Portland-Salem, OR-WA (CMSA) (DISCONTINUED)",2007,
"Washington-Baltimore, DC-MD-VA-WV (CMSA) (DISCONTINUED)",2007,0.03503950265509661
"Cincinnati-Hamilton, OH-KY-IN (CMSA) (DISCONTINUED)",2007,
"Denver-Boulder-Greeley, CO (CMSA) (DISCONTINUED)",2007,
"Cleveland-Akron, OH (CMSA) (DISCONTINUED)",2007,0.023727542298970734
"St. Louis, MO-IL (CBSA)",2007,0.019422316011606284
"Kansas City, MO-KS (CMSA) (DISCONTINUED)",2007,
"Pittsburgh, PA (CMSA) (DISCONTINUED)",2007,
"Milwaukee-Racine, WI (CMSA) (DISCONTINUED)",2007,
"San Francisco-Oakland-Hayward, CA (CBSA)",2008,0.0295018127174432
"New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2008,0.03896329464348334
"Dallas-Fort Worth-Arlington, TX (CBSA)",2008,0.045753367610631666
"Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",2008,0.03768231161793951
"Boston-Cambridge-Newton, MA-NH (CBSA)",2008,0.03666956803813952
"Denver-Aurora-Lakewood, CO (CBSA)",2008,0.03897964891092098
Seattle-Tacoma-Bellevue WA (CBSA),2008,0.04079138999284145
"Miami-Fort Lauderdale-West Palm Beach, FL (CBSA)",2008,0.043578028337501296
"Los Angeles-Riverside-Orange County, CA (CMSA) (DISCONTINUED)",2008,0.03529072092531914
"Houston-The Woodlands-Sugar Land, TX (CBSA)",2008,0.031631236230464654
Urban Hawaii (CBSA),2008,0.04262564691304023
"Phoenix-Mesa-Scottsdale, AZ (CBSA)",2008,0.034518950943101645
"Atlanta-Sandy Springs-Roswell, GA (CBSA)",2008,0.029324366593681574
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (CBSA)",2008,0.03246352863306543
Urban Alaska (CBSA),2008,0.04557568266965349
"Detroit-Warren-Dearborn, MI (CBSA)",2008,0.02182847604251534
"Tampa-St. Petersburg-Clearwater, FL (CBSA)",2008,0.03173573899477719
"Minneapolis-St.Paul-Bloomington, MN-WI (CBSA)",2008,0.03831609912197441
"Minneapolis-ST.Paul-Bloomington, MN-WI (CBSA)",2008,0.03831609912197441
"San Diego-Carlsbad, CA (CBSA)",2008,0.03853703695766777
"Portland-Salem, OR-WA (CMSA) (DISCONTINUED)",2008,
"Washington-Baltimore, DC-MD-VA-WV (CMSA) (DISCONTINUED)",2008,0.0469571571937326
"Cincinnati-Hamilton, OH-KY-IN (CMSA) (DISCONTINUED)",2008,
"Denver-Boulder-Greeley, CO (CMSA) (DISCONTINUED)",2008,
"Cleveland-Akron, OH (CMSA) (DISCONTINUED)",2008,0.038003724635927896
"St. Louis, MO-IL (CBSA)",2008,0.028300251253030723
"Kansas City, MO-KS (CMSA) (DISCONTINUED)",2008,
"Pittsburgh, PA (CMSA) (DISCONTINUED)",2008,
"Milwaukee-Racine, WI (CMSA) (DISCONTINUED)",2008,
"San Francisco-Oakland-Hayward, CA (CBSA)",2009,0.00835908216933619
"New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2009,0.00442003556244856
"Dallas-Fort Worth-Arlington, TX (CBSA)",2009,-0.006595454812087928
"Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",2009,-0.011953292527094391
"Boston-Cambridge-Newton, MA-NH (CBSA)",2009,-0.008130041011257222
"Denver-Aurora-Lakewood, CO (CBSA)",2009,-0.006457729385169882
Seattle-Tacoma-Bellevue WA (CBSA),2009,0.0057002798629146294
"Miami-Fort Lauderdale-West Palm Beach, FL (CBSA)",2009,-0.0026271942360769755
"Los Angeles-Riverside-Orange County, CA (CMSA) (DISCONTINUED)",2009,-0.007951213496137364
"Houston-The Woodlands-Sugar Land, TX (CBSA)",2009,0.003935108007089348
Urban Hawaii (CBSA),2009,0.005188750352288839
"Phoenix-Mesa-Scottsdale, AZ (CBSA)",2009,-0.014216360343439845
"Atlanta-Sandy Springs-Roswell, GA (CBSA)",2009,-0.024619298775904862
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (CBSA)",2009,-0.0023925313159813737
Urban Alaska (CBSA),2009,0.011857707509881346
"Detroit-Warren-Dearborn, MI (CBSA)",2009,-0.004487098573656501
"Tampa-St. Petersburg-Clearwater, FL (CBSA)",2009,-0.0012149198468464392
"Minneapolis-St.Paul-Bloomington, MN-WI (CBSA)",2009,-0.005115860603566212
"Minneapolis-ST.Paul-Bloomington, MN-WI (CBSA)",2009,-0.005115860603566212
"San Diego-Carlsbad, CA (CBSA)",2009,-0.00017539334537020662
"Portland-Salem, OR-WA (CMSA) (DISCONTINUED)",2009,
"Washington-Baltimore, DC-MD-VA-WV (CMSA) (DISCONTINUED)",2009,0.0015800545011231514
"Cincinnati-Hamilton, OH-KY-IN (CMSA) (DISCONTINUED)",2009,
"Denver-Boulder-Greeley, CO (CMSA) (DISCONTINUED)",2009,
"Cleveland-Akron, OH (CMSA) (DISCONTINUED)",2009,-0.013677605741885993
"St. Louis, MO-IL (CBSA)",2009,-0.0011474584801206857
"Kansas City, MO-KS (CMSA) (DISCONTINUED)",2009,
"Pittsburgh, PA (CMSA) (DISCONTINUED)",2009,
"Milwaukee-Racine, WI (CMSA) (DISCONTINUED)",2009,
"San Francisco-Oakland-Hayward, CA (CBSA)",2010,0.013257130307619052
"New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2010,0.01705728044139534
"Dallas-Fort Worth-Arlington, TX (CBSA)",2010,0.005885748122914674
"Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",2010,0.013692384067722004
"Boston-Cambridge-Newton, MA-NH (CBSA)",2010,0.016408349422399576
"Denver-Aurora-Lakewood, CO (CBSA)",2010,0.01869593570784664
Seattle-Tacoma-Bellevue WA (CBSA),2010,0.002616950261732033
"Miami-Fort Lauderdale-West Palm Beach, FL (CBSA)",2010,0.007056899732902807
"Los Angeles-Riverside-Orange County, CA (CMSA) (DISCONTINUED)",2010,0.011986760356631028
"Houston-The Woodlands-Sugar Land, TX (CBSA)",2010,0.01896130568725549
Urban Hawaii (CBSA),2010,0.02095649603560995
"Phoenix-Mesa-Scottsdale, AZ (CBSA)",2010,0.005600990061113339
"Atlanta-Sandy Springs-Roswell, GA (CBSA)",2010,0.01198813449778771
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (CBSA)",2010,0.01916751653516071
Urban Alaska (CBSA),2010,0.017734583611481943
"Detroit-Warren-Dearborn, MI (CBSA)",2010,0.007103737969905031
"Tampa-St. Petersburg-Clearwater, FL (CBSA)",2010,0.018951581053684833
"Minneapolis-St.Paul-Bloomington, MN-WI (CBSA)",2010,0.01846658553362611
"Minneapolis-ST.Paul-Bloomington, MN-WI (CBSA)",2010,0.018468990663286593
"San Diego-Carlsbad, CA (CBSA)",2010,0.013183638089734663
"Portland-Salem, OR-WA (CMSA) (DISCONTINUED)",2010,
"Washington-Baltimore, DC-MD-VA-WV (CMSA) (DISCONTINUED)",2010,0.01731141453123045
"Cincinnati-Hamilton, OH-KY-IN (CMSA) (DISCONTINUED)",2010,
"Denver-Boulder-Greeley, CO (CMSA) (DISCONTINUED)",2010,
"Cleveland-Akron, OH (CMSA) (DISCONTINUED)",2010,0.020417724152278004
"St. Louis, MO-IL (CBSA)",2010,0.023756499657382416
"Kansas City, MO-KS (CMSA) (DISCONTINUED)",2010,
"Pittsburgh, PA (CMSA) (DISCONTINUED)",2010,
"Milwaukee-Racine, WI (CMSA) (DISCONTINUED)",2010,
"San Francisco-Oakland-Hayward, CA (CBSA)",2011,0.02661182671375473
"New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2011,0.028453450596290477
"Dallas-Fort Worth-Arlington, TX (CBSA)",2011,0.03028343749715772
"Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",2011,0.02731121633074922
"Boston-Cambridge-Newton, MA-NH (CBSA)",2011,0.026492861175637976
"Denver-Aurora-Lakewood, CO (CBSA)",2011,0.036908028826013115
Seattle-Tacoma-Bellevue WA (CBSA),2011,0.028012295714581543
"Miami-Fort Lauderdale-West Palm Beach, FL (CBSA)",2011,0.03583194969455392
"Los Angeles-Riverside-Orange County, CA (CMSA) (DISCONTINUED)",2011,0.026712730519085074
"Houston-The Woodlands-Sugar Land, TX (CBSA)",2011,0.03306913590200359
Urban Hawaii (CBSA),2011,0.037267583205957425
"Phoenix-Mesa-Scottsdale, AZ (CBSA)",2011,0.02753601123262874
"Atlanta-Sandy Springs-Roswell, GA (CBSA)",2011,0.02850339957816406
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (CBSA)",2011,0.027311196368942813
Urban Alaska (CBSA),2011,0.03219409207023513
"Detroit-Warren-Dearborn, MI (CBSA)",2011,0.033474692946937695
"Tampa-St. Petersburg-Clearwater, FL (CBSA)",2011,0.028082106829832813
"Minneapolis-St.Paul-Bloomington, MN-WI (CBSA)",2011,0.0359470641577873
"Minneapolis-ST.Paul-Bloomington, MN-WI (CBSA)",2011,0.035944617753396454
"San Diego-Carlsbad, CA (CBSA)",2011,0.030332350161327043
"Portland-Salem, OR-WA (CMSA) (DISCONTINUED)",2011,
"Washington-Baltimore, DC-MD-VA-WV (CMSA) (DISCONTINUED)",2011,0.03329700918113471
"Cincinnati-Hamilton, OH-KY-IN (CMSA) (DISCONTINUED)",2011,
"Denver-Boulder-Greeley, CO (CMSA) (DISCONTINUED)",2011,
"Cleveland-Akron, OH (CMSA) (DISCONTINUED)",2011,0.03160923992507459
"St. Louis, MO-IL (CBSA)",2011,0.03242825574470807
"Kansas City, MO-KS (CMSA) (DISCONTINUED)",2011,
"Pittsburgh, PA (CMSA) (DISCONTINUED)",2011,
"Milwaukee-Racine, WI (CMSA) (DISCONTINUED)",2011,
"San Francisco-Oakland-Hayward, CA (CBSA)",2012,0.026528979025886978
"New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2012,0.019662512182051235
"Dallas-Fort Worth-Arlington, TX (CBSA)",2012,0.020983869673381107
"Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",2012,0.015184379298912937
"Boston-Cambridge-Newton, MA-NH (CBSA)",2012,0.016152324816951523
"Denver-Aurora-Lakewood, CO (CBSA)",2012,0.019431380737943007
Seattle-Tacoma-Bellevue WA (CBSA),2012,0.02444758412794656
"Miami-Fort Lauderdale-West Palm Beach, FL (CBSA)",2012,0.01818529241041646
"Los Angeles-Riverside-Orange County, CA (CMSA) (DISCONTINUED)",2012,0.02034787314045541
"Houston-The Woodlands-Sugar Land, TX (CBSA)",2012,0.017689005269507237
Urban Hawaii (CBSA),2012,0.024022871497647844
"Phoenix-Mesa-Scottsdale, AZ (CBSA)",2012,0.022348897989422255
"Atlanta-Sandy Springs-Roswell, GA (CBSA)",2012,0.01685480917732093
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (CBSA)",2012,0.017941772901785235
Urban Alaska (CBSA),2012,0.02228598946516606
"Detroit-Warren-Dearborn, MI (CBSA)",2012,0.01958107471916147
"Tampa-St. Petersburg-Clearwater, FL (CBSA)",2012,0.023620424453850007
"Minneapolis-St.Paul-Bloomington, MN-WI (CBSA)",2012,0.023342861962532904
"Minneapolis-ST.Paul-Bloomington, MN-WI (CBSA)",2012,0.023342861962532904
"San Diego-Carlsbad, CA (CBSA)",2012,0.016019564310553906
"Portland-Salem, OR-WA (CMSA) (DISCONTINUED)",2012,
"Washington-Baltimore, DC-MD-VA-WV (CMSA) (DISCONTINUED)",2012,0.02237837653749869
"Cincinnati-Hamilton, OH-KY-IN (CMSA) (DISCONTINUED)",2012,
"Denver-Boulder-Greeley, CO (CMSA) (DISCONTINUED)",2012,
"Cleveland-Akron, OH (CMSA) (DISCONTINUED)",2012,0.017714728836590584
"St. Louis, MO-IL (CBSA)",2012,0.023794428342612944
"Kansas City, MO-KS (CMSA) (DISCONTINUED)",2012,
"Pittsburgh, PA (CMSA) (DISCONTINUED)",2012,
"Milwaukee-Racine, WI (CMSA) (DISCONTINUED)",2012,
"San Francisco-Oakland-Hayward, CA (CBSA)",2013,0.02256727311132253
"New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2013,0.016805012107975584
"Dallas-Fort Worth-Arlington, TX (CBSA)",2013,0.018141117140683383
"Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",2013,0.011443073477782027
"Boston-Cambridge-Newton, MA-NH (CBSA)",2013,0.013909553232771099
"Denver-Aurora-Lakewood, CO (CBSA)",2013,0.02770646818231412
Seattle-Tacoma-Bellevue WA (CBSA),2013,0.01212611043177745
"Miami-Fort Lauderdale-West Palm Beach, FL (CBSA)",2013,0.012833069533410473
"Los Angeles-Riverside-Orange County, CA (CMSA) (DISCONTINUED)",2013,0.010814952749727953
"Houston-The Woodlands-Sugar Land, TX (CBSA)",2013,0.017538177638293226
Urban Hawaii (CBSA),2013,0.017835490200401247
"Phoenix-Mesa-Scottsdale, AZ (CBSA)",2013,0.012757905754946805
"Atlanta-Sandy Springs-Roswell, GA (CBSA)",2013,0.016865104218859808
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (CBSA)",2013,0.01153725089708536
Urban Alaska (CBSA),2013,0.031398725693972396
"Detroit-Warren-Dearborn, MI (CBSA)",2013,0.015448655440484578
"Tampa-St. Petersburg-Clearwater, FL (CBSA)",2013,0.015463790961367536
"Minneapolis-St.Paul-Bloomington, MN-WI (CBSA)",2013,0.01938884161472698
"Minneapolis-ST.Paul-Bloomington, MN-WI (CBSA)",2013,0.01938884161472698
"San Diego-Carlsbad, CA (CBSA)",2013,0.013060347679219781
"Portland-Salem, OR-WA (CMSA) (DISCONTINUED)",2013,
"Washington-Baltimore, DC-MD-VA-WV (CMSA) (DISCONTINUED)",2013,0.015191959209778555
"Cincinnati-Hamilton, OH-KY-IN (CMSA) (DISCONTINUED)",2013,
"Denver-Boulder-Greeley, CO (CMSA) (DISCONTINUED)",2013,
"Cleveland-Akron, OH (CMSA) (DISCONTINUED)",2013,0.012994588565538623
"St. Louis, MO-IL (CBSA)",2013,0.014888193045968405
"Kansas City, MO-KS (CMSA) (DISCONTINUED)",2013,
"Pittsburgh, PA (CMSA) (DISCONTINUED)",2013,
"Milwaukee-Racine, WI (CMSA) (DISCONTINUED)",2013,
"San Francisco-Oakland-Hayward, CA (CBSA)",2014,0.028450343041692933
"New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2014,0.01322454239897055
"Dallas-Fort Worth-Arlington, TX (CBSA)",2014,0.01187266854418311
"Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",2014,0.017469016998065242
"Boston-Cambridge-Newton, MA-NH (CBSA)",2014,0.01640524208140135
"Denver-Aurora-Lakewood, CO (CBSA)",2014,0.027771940352830725
Seattle-Tacoma-Bellevue WA (CBSA),2014,0.018596007309588495
"Miami-Fort Lauderdale-West Palm Beach, FL (CBSA)",2014,0.020642913879131097
"Los Angeles-Riverside-Orange County, CA (CMSA) (DISCONTINUED)",2014,0.013490756262706884
"Houston-The Woodlands-Sugar Land, TX (CBSA)",2014,0.026860827672352885
Urban Hawaii (CBSA),2014,0.014435421622217707
"Phoenix-Mesa-Scottsdale, AZ (CBSA)",2014,0.01623046222829975
"Atlanta-Sandy Springs-Roswell, GA (CBSA)",2014,0.021157112346730195
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (CBSA)",2014,0.012837073445983978
Urban Alaska (CBSA),2014,0.016119577270148247
"Detroit-Warren-Dearborn, MI (CBSA)",2014,0.010151779465059785
"Tampa-St. Petersburg-Clearwater, FL (CBSA)",2014,0.019486328861721705
"Minneapolis-St.Paul-Bloomington, MN-WI (CBSA)",2014,0.013994082452329644
"Minneapolis-ST.Paul-Bloomington, MN-WI (CBSA)",2014,0.013991897242702412
"San Diego-Carlsbad, CA (CBSA)",2014,0.01854661816170275
"Portland-Salem, OR-WA (CMSA) (DISCONTINUED)",2014,
"Washington-Baltimore, DC-MD-VA-WV (CMSA) (DISCONTINUED)",2014,0.016270548731802604
"Cincinnati-Hamilton, OH-KY-IN (CMSA) (DISCONTINUED)",2014,
"Denver-Boulder-Greeley, CO (CMSA) (DISCONTINUED)",2014,
"Cleveland-Akron, OH (CMSA) (DISCONTINUED)",2014,0.01477929962605116
"St. Louis, MO-IL (CBSA)",2014,0.010331934026105022
"Kansas City, MO-KS (CMSA) (DISCONTINUED)",2014,
"Pittsburgh, PA (CMSA) (DISCONTINUED)",2014,
"Milwaukee-Racine, WI (CMSA) (DISCONTINUED)",2014,
"San Francisco-Oakland-Hayward, CA (CBSA)",2015,0.025976557209275976
"New York-Newark-Jersey City, NY-NJ-PA (CBSA)",2015,0.001262667100044594
"Dallas-Fort Worth-Arlington, TX (CBSA)",2015,-0.0049973029822833566
"Chicago-Naperville-Elgin, IL-IN-WI (CBSA)",2015,-0.0029562888708219623
"Boston-Cambridge-Newton, MA-NH (CBSA)",2015,0.006341335946431335
"Denver-Aurora-Lakewood, CO (CBSA)",2015,0.011764333895446918
Seattle-Tacoma-Bellevue WA (CBSA),2015,0.013841151377988335
"Miami-Fort Lauderdale-West Palm Beach, FL (CBSA)",2015,0.010110303562583663
"Los Angeles-Riverside-Orange County, CA (CMSA) (DISCONTINUED)",2015,0.00906638196155716
